Date,Uncommented,Open,RLC,State
5/19/2015,360,1058,115,North Carolina
5/22/2015,329,1050,118,North Carolina
5/26/2015,305,1192,146,North Carolina
5/29/2015,307,1190,155,North Carolina
6/1/2015,358,1162,150,North Carolina
6/5/2015,235,970,60,North Carolina
6/8/2015,174,983,68,North Carolina
6/12/2015,211,917,91,North Carolina
6/15/2015,306,967,102,North Carolina
6/19/2015,209,926,85,North Carolina
6/26/2015,311,987,56,North Carolina
6/29/2015,302,982,60,North Carolina
7/3/2015,185,952,79,North Carolina
7/6/2015,247,1056,74,North Carolina
7/10/2015,80,909,93,North Carolina
7/13/2015,184,997,73,North Carolina
7/17/2015,112,856,76,North Carolina
7/20/2015,194,941,83,North Carolina
7/24/2015,265,933,59,North Carolina
7/27/2015,273,1025,66,North Carolina
7/31/2015,228,934,74,North Carolina
8/3/2015,33,1036,62,North Carolina
8/7/2015,50,1015,50,North Carolina
8/10/2015,133,939,44,North Carolina
8/14/2015,152,883,52,North Carolina
8/17/2015,162,840,46,North Carolina
8/21/2015,113,800,55,North Carolina
8/24/2015,112,738,43,North Carolina
8/28/2015,98,723,65,North Carolina
8/31/2015,107,698,62,North Carolina
9/4/2015,121,656,68,North Carolina
9/8/2015,143,634,62,North Carolina
9/11/2015,70,723,88,North Carolina
9/14/2015,162,787,85,North Carolina
9/18/2015,321,910,86,North Carolina
9/21/2015,411,1017,95,North Carolina
9/25/2015,371,966,94,North Carolina
9/28/2015,371,951,91,North Carolina
10/2/2015,289,855,66,North Carolina
10/16/2015,451,1172,118,North Carolina
10/19/2015,499,1211,117,North Carolina
10/23/2015,629,1361,116,North Carolina
10/26/2015,716,1458,123,North Carolina
10/30/2015,755,1409,45,North Carolina
11/3/2015,786,1386,65,North Carolina
11/6/2015,820,1467,69,North Carolina
11/9/2015,883,1521,69,North Carolina
11/13/2015,739,1429,79,North Carolina
11/16/2015,787,1439,86,North Carolina
11/20/2015,677,1195,89,North Carolina
11/23/2015,597,1105,50,North Carolina
11/30/2015,303,1080,90,North Carolina
12/4/2015,147,966,85,North Carolina
12/7/2015,125,769,98,North Carolina
12/11/2015,23,668,95,North Carolina
12/14/2015,38,580,96,North Carolina
12/18/2015,32,452,54,North Carolina
12/21/2015,75,495,56,North Carolina
12/26/2015,792,1391,75,North Carolina
12/28/2015,892,1572,85,North Carolina
1/1/2016,459,1381,106,North Carolina
1/4/2016,508,1375,119,North Carolina
1/8/2016,256,1093,107,North Carolina
1/11/2016,264,971,101,North Carolina
1/15/2016,218,868,98,North Carolina
1/18/2016,216,791,97,North Carolina
1/22/2016,105,521,70,North Carolina
1/25/2016,77,471,57,North Carolina
1/29/2016,71,406,42,North Carolina
2/1/2016,41,371,40,North Carolina
2/5/2016,15,338,44,North Carolina
2/8/2016,23,306,32,North Carolina
2/12/2016,8,261,5,North Carolina
2/15/2016,1,248,27,North Carolina
2/19/2016,13,214,15,North Carolina
2/22/2016,16,223,13,North Carolina
2/26/2016,28,220,20,North Carolina
2/29/2016,44,222,21,North Carolina
3/4/2016,36,236,23,North Carolina
3/7/2016,49,241,22,North Carolina
3/11/2016,73,263,16,North Carolina
3/14/2016,94,295,15,North Carolina
3/18/2016,102,306,18,North Carolina
3/21/2016,105,297,18,North Carolina
4/4/2016,153,468,25,North Carolina
4/8/2016,204,523,34,North Carolina
4/11/2016,146,452,35,North Carolina
4/18/2016,88,364,42,North Carolina
4/22/2016,118,421,44,North Carolina
4/25/2016,110,398,29,North Carolina
5/19/2015,165,570,81,South Carolina
5/22/2015,142,546,87,South Carolina
5/26/2015,185,575,89,South Carolina
5/29/2015,223,613,95,South Carolina
6/1/2015,207,591,51,South Carolina
6/5/2015,163,580,56,South Carolina
6/8/2015,221,624,50,South Carolina
6/12/2015,195,596,58,South Carolina
6/15/2015,241,639,87,South Carolina
6/19/2015,162,580,56,South Carolina
6/26/2015,85,422,38,South Carolina
6/29/2015,120,376,35,South Carolina
7/3/2015,100,383,34,South Carolina
7/6/2015,171,449,27,South Carolina
7/10/2015,122,410,29,South Carolina
7/13/2015,166,454,32,South Carolina
7/17/2015,154,449,39,South Carolina
7/20/2015,191,495,40,South Carolina
7/24/2015,192,483,35,South Carolina
7/27/2015,226,547,35,South Carolina
7/31/2015,110,434,32,South Carolina
8/3/2015,99,436,22,South Carolina
8/7/2015,7,375,29,South Carolina
8/10/2015,39,391,33,South Carolina
8/14/2015,55,322,39,South Carolina
8/17/2015,21,281,46,South Carolina
8/21/2015,6,235,49,South Carolina
8/24/2015,24,231,46,South Carolina
8/28/2015,18,231,35,South Carolina
8/31/2015,28,219,32,South Carolina
9/4/2015,20,178,25,South Carolina
9/8/2015,32,205,31,South Carolina
9/11/2015,20,166,19,South Carolina
9/14/2015,29,172,25,South Carolina
9/18/2015,11,163,27,South Carolina
9/21/2015,20,165,18,South Carolina
9/25/2015,5,130,18,South Carolina
9/28/2015,23,181,18,South Carolina
10/2/2015,0,161,11,South Carolina
10/16/2015,32,279,26,South Carolina
10/19/2015,40,269,19,South Carolina
10/23/2015,47,303,25,South Carolina
10/26/2015,63,291,20,South Carolina
10/30/2015,44,226,17,South Carolina
11/3/2015,45,216,16,South Carolina
11/6/2015,30,215,29,South Carolina
11/9/2015,41,219,30,South Carolina
11/13/2015,31,206,24,South Carolina
11/16/2015,2,144,16,South Carolina
11/20/2015,0,101,5,South Carolina
11/23/2015,1,81,1,South Carolina
11/30/2015,0,86,0,South Carolina
12/4/2015,0,59,0,South Carolina
12/7/2015,3,56,0,South Carolina
12/11/2015,0,70,1,South Carolina
12/14/2015,0,71,3,South Carolina
12/18/2015,0,58,0,South Carolina
12/21/2015,3,67,0,South Carolina
12/26/2015,7,346,3,South Carolina
12/28/2015,2,392,2,South Carolina
1/1/2016,1,267,3,South Carolina
1/4/2016,4,148,1,South Carolina
1/8/2016,0,102,1,South Carolina
1/11/2016,0,86,1,South Carolina
1/15/2016,1,58,0,South Carolina
1/18/2016,0,58,1,South Carolina
1/22/2016,1,77,0,South Carolina
1/25/2016,1,81,2,South Carolina
1/29/2016,0,63,0,South Carolina
2/1/2016,0,62,2,South Carolina
2/5/2016,0,56,0,South Carolina
2/8/2016,2,58,1,South Carolina
2/12/2016,0,63,0,South Carolina
2/15/2016,1,82,0,South Carolina
